"id","username","wear_frequency","wash_frequency","initial_score","created_at"
"1","Edina","2","biweekly","51","2025-06-20 13:27:14"
"2","Edina","2","daily","73","2025-06-20 13:34:36"
"3","Edina","2","daily","50","2025-06-20 13:42:41"
"4","Edina","2","biweekly","50","2025-06-20 13:43:45"
"5","Pavel","2","daily","86","2025-06-20 13:51:50"
"6","Edina","2","daily","41","2025-06-20 14:47:33"
"7","Edina","2","daily","65","2025-06-23 11:24:07"
"8","Edina","2","daily","65","2025-06-23 11:24:53"
"9","Edina","2","daily","65","2025-06-23 13:11:28"
"10","Edina","3","daily","64","2025-06-23 16:03:36"
"11","Noah","3","biweekly","82","2025-06-24 12:45:09"